,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13
1,0.6347950475439932,0.21340335295639393,0.09458678069051626,0.03763213677321112,0.014271946260027693,0.005310735775857829,0,0,0,0,0,0,0
2,0.17587173501412187,0.5231525411540591,0.17587173501412187,0.07795163946107493,0.03101370758661774,0.011761914309248315,0.004376727460756144,0,0,0,0,0,0
3,0.07231459799072905,0.16315364119864362,0.48532097545267494,0.16315364119864362,0.07231459799072905,0.028770963790289452,0.010911356204373618,0.004060226173916579,0,0,0,0,0
4,0.027966345088404235,0.07029222298839109,0.15859083016645267,0.4717483215745245,0.15859083016645267,0.07029222298839109,0.027966345088404235,0.010606205451379606,0.003946676487599857,0,0,0,0
5,0.010494894444708485,0.027672841248697143,0.06955451352784402,0.15692643614395707,0.46679737273513144,0.15692643614395707,0.06955451352784402,0.027672841248697143,0.010494894444708485,0.0039052565344550832,0,0,0
6,0.003890064833345208,0.010454068624899454,0.027565192102116838,0.06928394196076891,0.15631598213329126,0.46498150069115657,0.15631598213329126,0.06928394196076891,0.027565192102116838,0.010454068624899454,0.003890064833345208,0,0
7,0,0.003890064833345208,0.010454068624899454,0.027565192102116838,0.06928394196076891,0.15631598213329126,0.46498150069115657,0.15631598213329126,0.06928394196076891,0.027565192102116838,0.010454068624899454,0.003890064833345208,0
8,0,0,0.003890064833345208,0.010454068624899454,0.027565192102116838,0.06928394196076891,0.15631598213329126,0.46498150069115657,0.15631598213329126,0.06928394196076891,0.027565192102116838,0.010454068624899454,0.003890064833345208
9,0,0,0,0.0039052565344550832,0.010494894444708485,0.027672841248697143,0.06955451352784402,0.15692643614395707,0.46679737273513144,0.15692643614395707,0.06955451352784402,0.027672841248697143,0.010494894444708485
10,0,0,0,0,0.003946676487599857,0.010606205451379606,0.027966345088404235,0.07029222298839109,0.15859083016645267,0.4717483215745245,0.15859083016645267,0.07029222298839109,0.027966345088404235
11,0,0,0,0,0,0.004060226173916579,0.010911356204373618,0.028770963790289452,0.07231459799072905,0.16315364119864362,0.48532097545267494,0.16315364119864362,0.07231459799072905
12,0,0,0,0,0,0,0.004376727460756144,0.011761914309248315,0.03101370758661774,0.07795163946107493,0.17587173501412187,0.5231525411540591,0.17587173501412187
13,0,0,0,0,0,0,0,0.005310735775857829,0.014271946260027693,0.03763213677321112,0.09458678069051626,0.21340335295639393,0.6347950475439932
